date,close,volume,open,high,low
2018/07/17,270.0200,2674017.0000,264.1000,271.0800,259.1000
2018/07/16,267.0800,1510246.0000,266.4500,269.7400,266.0000
2018/07/13,267.1900,2532581.0000,271.3600,274.0000,265.7010
2018/07/12,271.4500,3964270.0000,264.2300,272.1500,263.6950
2018/07/11,261.2500,2651356.0000,256.4900,263.9600,255.7500
2018/07/10,261.2500,1921888.0000,262.9900,264.8300,258.8500
2018/07/09,261.9700,4230159.0000,259.2760,262.9000,258.6000
2018/07/06,251.7700,3916964.0000,244.7500,253.5000,243.8756
2018/07/05,244.0700,2964179.0000,248.9900,250.6900,243.4400
2018/07/03,246.4300,2298829.0000,248.7100,249.0600,245.3000
2018/07/02,246.2500,2312605.0000,238.0800,246.3800,236.2800
2018/06/29,243.0000,3647336.0000,245.9000,247.7700,242.0000
2018/06/28,242.2100,6464138.0000,241.8400,242.7200,237.8000
2018/06/27,243.0000,4394737.0000,255.0000,255.5000,241.8638
2018/06/26,250.7700,2401919.0000,252.4600,253.1135,248.2100
2018/06/25,250.4100,3987386.0000,254.2800,254.3000,245.5000
2018/06/22,259.0000,3026488.0000,261.0000,261.7400,258.0100
2018/06/21,260.5000,3244538.0000,263.2200,265.6000,260.3000
2018/06/20,264.0600,2876096.0000,263.3400,264.7900,259.4200
2018/06/19,262.1100,4292279.0000,260.2300,262.1700,256.4400
2018/06/18,268.8900,3663366.0000,267.3000,269.8200,264.1100
2018/06/15,272.9700,5912834.0000,268.0000,273.6100,266.3500
2018/06/14,270.6400,3114528.0000,270.4100,273.3100,269.7500
2018/06/13,270.0000,2668096.0000,268.8600,272.1900,267.9200
2018/06/12,267.4200,3287627.0000,270.5400,272.8800,265.6649
2018/06/11,269.7800,2764772.0000,264.0000,269.8300,262.5200
2018/06/08,263.5900,3114337.0000,262.1700,263.8900,259.5100
2018/06/07,264.8900,3645316.0000,264.6900,268.0000,263.0300
2018/06/06,263.9400,3366893.0000,260.1800,263.9900,257.0800
2018/06/05,259.9800,4973938.0000,262.2450,265.4100,255.2000
2018/06/04,260.9000,5629302.0000,251.0000,261.0000,251.0000
2018/06/01,248.4600,4545910.0000,245.3900,251.0000,244.8500
2018/05/31,242.5600,4398703.0000,242.0400,245.5200,241.9600
2018/05/30,241.6300,3140201.0000,243.6900,243.7500,240.4700
2018/05/29,242.0500,3629519.0000,242.5500,245.0400,240.6000
2018/05/25,243.8000,5293770.0000,240.4780,245.7990,240.0800
2018/05/24,240.2800,4779166.0000,243.4900,243.9527,240.0500
2018/05/23,240.3900,5033236.0000,238.7700,243.3300,236.6100
2018/05/22,239.9700,7129762.0000,243.9900,247.0500,239.6000
2018/05/21,240.5100,15232320.0000,256.0000,256.3627,237.8300
2018/05/18,253.0100,16036380.0000,262.3800,264.6650,251.5800
2018/05/17,279.6800,3238035.0000,280.2600,283.9500,278.6000
2018/05/16,284.0700,3617516.0000,272.7400,284.2200,271.2264
2018/05/15,271.9200,2299528.0000,266.4100,271.9800,265.6100
2018/05/14,272.2600,3282097.0000,271.5000,278.7600,271.0000
2018/05/11,269.9100,2242693.0000,270.9200,271.4900,266.3700
2018/05/10,268.6800,3069562.0000,262.1800,269.4000,260.7000
2018/05/09,261.2900,2299989.0000,263.1000,264.4300,259.7100
2018/05/08,263.0900,3598684.0000,255.0000,263.9900,253.4000
2018/05/07,253.9000,3045913.0000,251.5300,257.0000,250.2500
2018/05/04,251.7300,2692673.0000,250.8500,254.7400,249.2933
2018/05/03,252.4600,2727455.0000,249.0000,254.5400,245.7400
2018/05/02,249.8000,3058242.0000,250.9200,252.7400,246.8000
2018/05/01,252.1300,2469204.0000,247.2400,254.0800,246.0100
2018/04/30,250.9000,4268192.0000,253.6900,255.0000,244.4000
2018/04/27,251.9300,8012024.0000,253.9500,257.3000,245.6300
